kpc_r,sigma_tot,sigma_HI,sigma_H2,q,\Omega,sigma_sfr,T
1.221815106875,0.3423487856530476,0.0008452512016237695,0.031507530719094325,0.9948260923271821,6.6680976697731615e-15,6.822759751677049e-19,5137.210167093685
2.0363585118125,0.1971905291778742,0.0009303630707460869,0.02785113764300046,0.8980650162516555,4.121265770437583e-15,5.097520520039904e-19,5365.413179422373
2.8712655016875,0.11322987443852615,0.0009323080087859414,0.020885406844365184,1.1952275205148237,2.9149329976261685e-15,3.129976138645275e-19,5599.321267007185
3.6858089066249997,0.08459164296895538,0.001010105531090485,0.016319245753146253,1.063815751885744,2.1485439797974656e-15,1.9998576342007283e-19,5827.524279335873
4.5207158965000005,0.06784969952184583,0.0012237707890058337,0.014425426222523982,0.8588421225354406,1.8019353630955343e-15,1.9752963123400818e-19,6061.432366920685
5.355622886375,0.048847726025752894,0.0012890762795092498,0.011118172704856545,1.0024936753030973,1.5414534099623416e-15,1.963953795357527e-19,6295.340454505498
6.1701662913125,0.033849161315610075,0.0011427156566141952,0.006252207972612922,1.1320456576066742,1.3274527970586035e-15,1.540986322468272e-19,6523.543466834186
6.9847096951875,0.021176740673878636,0.0009432022854229731,0.002942066354053743,1.4491306475763244,1.1379219325640094e-15,1.0252188960704096e-19,6751.746478865202
7.8196166850625,0.012701560855512183,0.0009303630707460869,0.002267551843576598,1.8440545883376043,9.399841751127154e-16,7.869381357845065e-20,6985.654566450015
8.6545236749375,0.009409205787016732,0.0011041670574250591,0.003420807643852046,2.165795236076167,7.681520700759333e-16,7.486390400939343e-20,7219.562654034828
